DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
17261.71	19303.70	2041	door001.jpg	1	0
20344.76	22120.09	1775	door003.jpg	1	0
27527.43	29213.54	1686	door001.jpg	1	0
30260.52	31136.40	875	door005.jpg	1	0
36509.94	38072.81	1562	door003.jpg	1	0
43442.64	44604.12	1161	door001.jpg	1	0
45609.11	46352.13	743	door004.jpg	1	0
47292.30	48418.49	1126	door004.jpg	1	0
49358.76	49982.66	623	door001.jpg	1	0
50958.62	53038.47	2079	door004.jpg	1	0
53975.00	54931.44	956	door005.jpg	1	0
60274.43	61255.61	981	door005.jpg	1	0
66590.52	67686.29	1095	door004.jpg	1	0
68623.65	70606.49	1982	door003.jpg	1	0
75972.98	76952.67	979	door005.jpg	1	0
82289.06	83050.15	761	door004.jpg	1	0
83988.92	86379.12	2390	door001.jpg	1	0
87338.62	90783.39	3444	door005.jpg	1	0
96121.12	100916.29	4795	door003.jpg	1	0
106286.85	106936.47	649	door003.jpg	1	0
364729.77	367073.94	2344	door011.jpg	2	1
372429.08	373576.08	1147	door011.jpg	2	1
378945.14	379759.04	813	door010.jpg	2	1
380744.97	382026.61	1281	door009.jpg	2	1
387361.02	388981.68	1620	door010.jpg	2	1
389960.77	391316.08	1355	door007.jpg	2	1
392260.58	393271.91	1011	door007.jpg	2	1
394210.39	395553.76	1343	door011.jpg	2	1
400909.78	403697.05	2787	door010.jpg	2	1
404659.44	406895.07	2235	door009.jpg	2	1
412225.41	413499.75	1274	door009.jpg	2	1
418841.47	420346.94	1505	door011.jpg	2	1
425690.84	425838.11	147	door010.jpg	2	1
426807.40	427390.14	582	door010.jpg	2	1
428340.58	429515.87	1175	door011.jpg	2	1
434873.32	435475.14	601	door007.jpg	2	1
436423.18	437227.04	803	door007.jpg	2	1
438173.02	439055.76	882	door009.jpg	2	1
444389.12	445107.82	718	door009.jpg	2	1
450438.55	451100.24	661	door007.jpg	2	1
587909.25	589248.31	1339	door015.jpg	3	2
594591.96	595418.34	826	door016.jpg	3	2
596391.80	597524.38	1132	door013.jpg	3	2
598458.29	599368.32	910	door015.jpg	3	2
604707.72	605575.84	868	door016.jpg	3	2
606540.87	607205.57	664	door015.jpg	3	2
612556.99	613429.32	872	door017.jpg	3	2
618773.09	622027.56	3254	door016.jpg	3	2
622989.37	625647.96	2658	door013.jpg	3	2
626589.03	629920.65	3331	door015.jpg	3	2
635254.89	636082.72	827	door015.jpg	3	2
641421.01	642672.12	1251	door016.jpg	3	2
643637.47	645792.84	2155	door017.jpg	3	2
651136.78	652671.73	1534	door013.jpg	3	2
653619.87	654745.89	1126	door017.jpg	3	2
660102.63	660518.19	415	door016.jpg	3	2
661469.16	662269.32	800	door017.jpg	3	2
667618.60	668070.24	451	door013.jpg	3	2
669018.47	669674.83	656	door013.jpg	3	2
670618.33	671377.36	759	door017.jpg	3	2
785174.45	787052.87	1878	door020.jpg	4	3
792390.46	794071.13	1680	door020.jpg	4	3
799423.13	800289.05	865	door019.jpg	4	3
801239.64	802228.92	989	door019.jpg	4	3
803206.12	805245.28	2039	door018.jpg	4	3
806189.20	807535.00	1345	door020.jpg	4	3
812871.90	813466.26	594	door018.jpg	4	3
814421.77	815236.40	814	door021.jpg	4	3
820587.87	821748.13	1160	door019.jpg	4	3
822704.33	826424.46	3720	door019.jpg	4	3
827387.24	828583.48	1196	door021.jpg	4	3
833936.64	834543.57	606	door020.jpg	4	3
839886.10	840336.16	450	door018.jpg	4	3
841269.30	841365.54	96	door021.jpg	4	3
846718.80	847304.91	586	door021.jpg	4	3
852651.57	853389.36	737	door018.jpg	4	3
854334.77	854932.24	597	door018.jpg	4	3
855867.95	857228.88	1360	door020.jpg	4	3
862567.34	863942.30	1374	door019.jpg	4	3
864900.47	866276.84	1376	door021.jpg	4	3
980323.18	981352.26	1029	door024.jpg	5	4
982323.00	983190.76	867	door025.jpg	5	4
984156.15	985371.24	1215	door025.jpg	5	4
986305.97	987502.01	1196	door024.jpg	5	4
988472.44	989440.62	968	door027.jpg	5	4
994771.86	995685.82	913	door025.jpg	5	4
996621.69	997442.25	820	door027.jpg	5	4
1002771.12	1003409.82	638	door027.jpg	5	4
1008753.90	1009460.11	706	door026.jpg	5	4
1014803.35	1015515.50	712	door024.jpg	5	4
1016469.85	1017200.33	730	door025.jpg	5	4
1018136.36	1018634.43	498	door027.jpg	5	4
1023969.17	1024600.63	631	door027.jpg	5	4
1029935.29	1030730.19	794	door026.jpg	5	4
1036084.73	1036103.24	18	door024.jpg	5	4
1037067.97	1037518.65	450	door025.jpg	5	4
1038467.83	1039186.27	718	door026.jpg	5	4
1044533.95	1045040.78	506	door026.jpg	5	4
1050400.07	1050864.60	464	door026.jpg	5	4
1056216.20	1056831.12	614	door024.jpg	5	4
1172172.20	1173131.18	958	door032.jpg	6	5
1178471.62	1179324.33	852	door032.jpg	6	5
1184671.05	1185679.41	1008	door033.jpg	6	5
1191053.80	1191558.14	504	door030.jpg	6	5
1192503.67	1193075.53	571	door030.jpg	6	5
1194036.85	1194778.35	741	door031.jpg	6	5
1195736.71	1196415.10	678	door033.jpg	6	5
1201769.48	1202613.19	843	door031.jpg	6	5
1203569.32	1204499.36	930	door031.jpg	6	5
1205452.49	1206184.61	732	door033.jpg	6	5
1211535.26	1212248.75	713	door033.jpg	6	5
1217601.38	1218955.31	1353	door032.jpg	6	5
1224284.09	1226107.52	1823	door031.jpg	6	5
1227067.16	1227677.10	609	door030.jpg	6	5
1228617.03	1229182.04	565	door030.jpg	6	5
1230116.88	1231124.27	1007	door032.jpg	6	5
1236449.63	1239072.90	2623	door031.jpg	6	5
1240032.64	1240812.20	779	door030.jpg	6	5
1241749.15	1242505.92	756	door033.jpg	6	5
1247865.26	1248513.77	648	door032.jpg	6	5
