DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
39470.28	43846.15	4375	door000.jpg	1	0
44836.52	46572.56	1736	door001.jpg	1	0
47619.62	50272.14	2652	door003.jpg	1	0
55618.95	57884.03	2265	door000.jpg	1	0
58818.69	60050.23	1231	door000.jpg	1	0
61001.84	62623.29	1621	door002.jpg	1	0
67951.25	70961.85	3010	door000.jpg	1	0
71900.94	72797.13	896	door002.jpg	1	0
78133.74	78850.27	716	door001.jpg	1	0
79800.28	81147.85	1347	door003.jpg	1	0
86499.72	87582.25	1082	door002.jpg	1	0
92915.85	93672.19	756	door001.jpg	1	0
94632.38	95660.61	1028	door001.jpg	1	0
96615.54	97600.77	985	door002.jpg	1	0
102931.69	103799.35	867	door003.jpg	1	0
109147.84	110008.27	860	door003.jpg	1	0
115380.64	116279.46	898	door003.jpg	1	0
121646.79	122384.27	737	door002.jpg	1	0
127712.96	128248.15	535	door001.jpg	1	0
129212.84	129964.35	751	door000.jpg	1	0
313147.56	314418.68	1271	door007.jpg	2	1
315397.36	316525.18	1127	door006.jpg	2	1
317480.52	318608.11	1127	door007.jpg	2	1
319580.36	320675.43	1095	door009.jpg	2	1
326029.82	327252.69	1222	door009.jpg	2	1
332595.94	333896.61	1300	door006.jpg	2	1
334845.76	336263.16	1417	door008.jpg	2	1
341595.20	342425.47	830	door007.jpg	2	1
343378.38	344048.84	670	door006.jpg	2	1
344994.91	345727.61	732	door006.jpg	2	1
346661.45	347362.02	700	door008.jpg	2	1
352694.28	353407.14	712	door008.jpg	2	1
358743.77	359396.36	652	door009.jpg	2	1
364743.28	365842.31	1099	door006.jpg	2	1
366776.44	367355.57	579	door008.jpg	2	1
372692.62	373241.49	548	door007.jpg	2	1
374209.14	374866.95	657	door009.jpg	2	1
380225.32	381120.39	895	door009.jpg	2	1
386474.79	387115.31	640	door007.jpg	2	1
388074.68	388900.15	825	door008.jpg	2	1
556377.34	557287.98	910	door012.jpg	3	2
558243.86	559031.98	788	door012.jpg	3	2
559993.73	560860.71	866	door013.jpg	3	2
561826.90	562650.18	823	door013.jpg	3	2
563626.75	564621.12	994	door014.jpg	3	2
569959.56	570469.23	509	door014.jpg	3	2
575809.07	576514.47	705	door012.jpg	3	2
577458.93	578018.50	559	door012.jpg	3	2
578975.48	579690.93	715	door015.jpg	3	2
585041.64	585564.94	523	door014.jpg	3	2
590891.16	591545.77	654	door015.jpg	3	2
596890.65	597873.52	982	door015.jpg	3	2
603223.46	604047.65	824	door012.jpg	3	2
604989.99	605582.30	592	door013.jpg	3	2
606539.86	606961.95	422	door013.jpg	3	2
607923.08	608440.16	517	door015.jpg	3	2
613789.26	614268.98	479	door014.jpg	3	2
619605.45	620124.36	518	door014.jpg	3	2
625454.95	626007.84	552	door013.jpg	3	2
626971.48	627464.25	492	door015.jpg	3	2
763126.83	763874.77	747	door021.jpg	4	3
769226.34	769926.32	699	door023.jpg	4	3
775275.85	775673.92	398	door021.jpg	4	3
781008.69	781449.98	441	door021.jpg	4	3
786808.22	787164.33	356	door019.jpg	4	3
788108.11	788689.39	581	door023.jpg	4	3
794040.95	794737.66	696	door023.jpg	4	3
800107.11	801051.21	944	door022.jpg	4	3
802006.95	802735.16	728	door023.jpg	4	3
808106.44	808907.47	801	door019.jpg	4	3
809856.29	810642.21	785	door021.jpg	4	3
815972.44	816776.84	804	door019.jpg	4	3
817722.30	818646.26	923	door023.jpg	4	3
824021.79	824696.37	674	door021.jpg	4	3
830037.96	831280.11	1242	door022.jpg	4	3
832237.77	833399.73	1161	door019.jpg	4	3
834337.59	835149.48	811	door022.jpg	4	3
836104.11	836802.20	698	door022.jpg	4	3
837753.98	838551.92	797	door022.jpg	4	3
839503.83	840689.07	1185	door019.jpg	4	3
963460.20	964500.75	1040	door029.jpg	5	4
969876.35	970449.78	573	door028.jpg	5	4
971442.88	972105.09	662	door027.jpg	5	4
977442.38	978018.92	576	door029.jpg	5	4
983391.89	984180.71	788	door025.jpg	5	4
985125.07	986045.81	920	door028.jpg	5	4
987008.24	987827.28	819	door029.jpg	5	4
993174.40	994023.71	849	door025.jpg	5	4
994957.59	996494.51	1536	door028.jpg	5	4
997457.39	998174.16	716	door025.jpg	5	4
999107.24	999905.42	798	door027.jpg	5	4
1005240.08	1005877.44	637	door029.jpg	5	4
1011222.90	1011822.95	600	door027.jpg	5	4
1017155.74	1017907.77	752	door025.jpg	5	4
1018855.60	1019446.28	590	door027.jpg	5	4
1024771.77	1025460.69	688	door029.jpg	5	4
1030821.27	1031539.21	717	door028.jpg	5	4
1032537.79	1032998.72	460	door028.jpg	5	4
1033971.01	1034879.66	908	door025.jpg	5	4
1035820.86	1036486.84	665	door027.jpg	5	4
