id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
2	door000.jpg	door002.jpg	3516	259680.54	256164.15	f	1	0
7	door001.jpg	door003.jpg	4016	264863.09	260847.04	f	1	0
8	door001.jpg	door004.jpg	3361	269307.83	265946.62	j	1	0
4	door000.jpg	door004.jpg	2960	273306.45	270346.25	f	1	0
25	door003.jpg	door002.jpg	2014	276343.49	274329.29	j	1	0
21	door002.jpg	door001.jpg	2067	279446.63	277379.03	f	1	0
14	door003.jpg	door005.jpg	2912	283407.97	280495.41	j	1	0
5	door000.jpg	door005.jpg	2009	286438.21	284428.44	f	1	0
6	door001.jpg	door002.jpg	1624	289085.71	287461.53	j	1	0
16	door001.jpg	door000.jpg	1574	291685.89	290111.32	j	1	0
1	door000.jpg	door001.jpg	1153	293864.25	292711.09	f	1	0
15	door004.jpg	door005.jpg	4905	299799.29	294894.24	f	1	0
17	door002.jpg	door000.jpg	2740	303567.58	300827.08	j	1	0
13	door003.jpg	door004.jpg	1928	306521.84	304593.44	j	1	0
12	door002.jpg	door005.jpg	4275	311818.64	307543.20	f	1	0
30	door005.jpg	door004.jpg	5232	318075.69	312842.75	j	1	0
26	door004.jpg	door002.jpg	2654	321763.14	319108.91	j	1	0
22	door003.jpg	door001.jpg	3204	325996.88	322791.93	j	1	0
27	door005.jpg	door002.jpg	2077	329102.75	327024.92	j	1	0
28	door004.jpg	door003.jpg	2040	332165.40	330124.66	f	1	0
3	door000.jpg	door003.jpg	974	334165.94	333191.06	f	1	0
10	door002.jpg	door003.jpg	1550	336741.84	335190.91	f	1	0
18	door003.jpg	door000.jpg	901	338675.84	337774.02	j	1	0
29	door005.jpg	door003.jpg	2179	341886.71	339707.19	f	1	0
23	door004.jpg	door001.jpg	1761	344668.59	342906.93	f	1	0
20	door005.jpg	door000.jpg	809	346499.69	345690.02	j	1	0
24	door005.jpg	door001.jpg	1470	348994.11	347523.21	f	1	0
19	door004.jpg	door000.jpg	846	350869.49	350023.01	j	1	0
9	door001.jpg	door005.jpg	1219	353108.64	351889.51	j	1	0
11	door002.jpg	door004.jpg	845	354984.79	354139.33	f	1	0
46	door007.jpg	door006.jpg	646	517055.34	516409.18	j	2	1
49	door010.jpg	door006.jpg	1240	519349.24	518109.01	j	2	1
44	door009.jpg	door011.jpg	1877	522285.95	520408.82	j	2	1
42	door008.jpg	door011.jpg	1902	525228.17	523325.26	f	2	1
