DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
100727.55	136186.72	35459	door001.jpg	1	0
137190.88	146612.07	9421	door003.jpg	1	0
151956.20	157034.09	5077	door003.jpg	1	0
162405.22	164116.81	1711	door003.jpg	1	0
169537.91	173402.27	3864	door004.jpg	1	0
174420.79	177696.67	3275	door005.jpg	1	0
183036.66	187912.65	4875	door001.jpg	1	0
188869.47	192731.37	3861	door004.jpg	1	0
193669.02	195014.83	1345	door005.jpg	1	0
200351.75	202838.72	2486	door004.jpg	1	0
203784.77	205835.79	2051	door005.jpg	1	0
211167.42	219318.77	8151	door001.jpg	1	0
220283.24	223272.71	2989	door004.jpg	1	0
224216.22	225809.99	1593	door003.jpg	1	0
231165.57	233225.54	2059	door003.jpg	1	0
238581.55	239296.98	715	door004.jpg	1	0
240231.42	241785.46	1554	door001.jpg	1	0
242747.84	244128.01	1380	door001.jpg	1	0
245080.97	245890.86	809	door005.jpg	1	0
251230.40	251943.38	712	door005.jpg	1	0
637278.25	641588.43	4310	door007.jpg	2	1
642577.75	651758.70	9180	door011.jpg	2	1
657093.09	660232.80	3139	door007.jpg	2	1
661209.38	663758.05	2548	door009.jpg	2	1
669108.65	673603.64	4494	door011.jpg	2	1
678941.09	681817.30	2876	door007.jpg	2	1
682774.07	684936.99	2162	door007.jpg	2	1
685907.10	687791.94	1884	door010.jpg	2	1
688740.17	694395.24	5655	door010.jpg	2	1
695339.57	696405.33	1065	door010.jpg	2	1
697339.39	703318.82	5979	door007.jpg	2	1
704272.08	706962.79	2690	door010.jpg	2	1
707905.08	713561.10	5656	door009.jpg	2	1
718904.06	720556.00	1651	door009.jpg	2	1
725903.44	729828.25	3924	door010.jpg	2	1
730769.65	734095.84	3326	door011.jpg	2	1
739435.52	740428.23	992	door011.jpg	2	1
745768.27	746570.08	801	door011.jpg	2	1
751901.04	753634.23	1733	door009.jpg	2	1
758983.73	759686.18	702	door009.jpg	2	1
983313.08	987284.04	3970	door017.jpg	3	2
992645.58	994745.03	2099	door016.jpg	3	2
995711.96	999205.69	3493	door017.jpg	3	2
1004561.14	1005288.49	727	door017.jpg	3	2
1010660.58	1011629.65	969	door015.jpg	3	2
1016960.00	1017779.65	819	door017.jpg	3	2
1023142.78	1024209.97	1067	door013.jpg	3	2
1025159.25	1027240.12	2080	door016.jpg	3	2
1028192.31	1028937.29	744	door016.jpg	3	2
1029892.15	1032068.76	2176	door015.jpg	3	2
1037408.11	1037942.67	534	door015.jpg	3	2
1043274.26	1044888.48	1614	door016.jpg	3	2
1045840.67	1046630.03	789	door015.jpg	3	2
1051956.78	1052503.23	546	door015.jpg	3	2
1057839.57	1058619.12	779	door016.jpg	3	2
1059572.75	1062749.87	3177	door017.jpg	3	2
1068105.29	1070888.89	2783	door013.jpg	3	2
1071821.63	1072326.83	505	door013.jpg	3	2
1073271.49	1073724.21	452	door013.jpg	3	2
1074671.38	1075133.70	462	door013.jpg	3	2
1265787.12	1267659.56	1872	door018.jpg	4	3
1268636.87	1269240.17	603	door018.jpg	4	3
1270236.72	1270980.05	743	door019.jpg	4	3
1271936.57	1272657.38	720	door018.jpg	4	3
1273619.73	1274111.13	491	door019.jpg	4	3
1275069.61	1276121.30	1051	door020.jpg	4	3
1281485.69	1282155.03	669	door021.jpg	4	3
1287485.13	1293044.36	5559	door019.jpg	4	3
1293984.54	1295912.05	1927	door020.jpg	4	3
1301267.21	1302025.69	758	door021.jpg	4	3
1307366.63	1307756.35	389	door021.jpg	4	3
1313082.78	1314274.81	1192	door019.jpg	4	3
1315215.91	1315727.46	511	door020.jpg	4	3
1321082.05	1321818.59	736	door018.jpg	4	3
1322781.89	1323081.32	299	door018.jpg	4	3
1324031.77	1324427.71	395	door021.jpg	4	3
1329764.58	1330424.24	659	door019.jpg	4	3
1331364.44	1331712.24	347	door021.jpg	4	3
1337047.24	1337509.83	462	door020.jpg	4	3
1342863.38	1343109.32	245	door020.jpg	4	3
1513847.65	1515020.16	1172	door024.jpg	5	4
1515997.46	1516617.72	620	door025.jpg	5	4
1517597.32	1519404.97	1807	door027.jpg	5	4
1524763.33	1525261.02	497	door027.jpg	5	4
1530629.45	1531070.49	441	door026.jpg	5	4
1536412.25	1538187.10	1774	door025.jpg	5	4
1539145.34	1539688.10	542	door027.jpg	5	4
1545044.79	1545642.02	597	door025.jpg	5	4
1546594.66	1547234.47	639	door024.jpg	5	4
1548177.83	1548718.29	540	door026.jpg	5	4
1554060.63	1554414.82	354	door026.jpg	5	4
1559743.43	1560263.39	519	door024.jpg	5	4
1561209.97	1561557.87	347	door027.jpg	5	4
1566909.45	1567214.89	305	door027.jpg	5	4
1572558.93	1572806.07	247	door024.jpg	5	4
