id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
6	door001.jpg	door002.jpg	14114	447494.51	433380.31	f	1	0
14	door003.jpg	door005.jpg	17751	466314.22	448562.25	j	1	0
21	door002.jpg	door001.jpg	8743	476087.25	467343.87	f	1	0
8	door001.jpg	door004.jpg	1669	478795.90	477126.30	j	1	0
5	door000.jpg	door005.jpg	3206	483048.96	479842.69	j	1	0
16	door001.jpg	door000.jpg	5638	489714.27	484075.67	j	1	0
18	door003.jpg	door000.jpg	2856	493598.56	490741.72	f	1	0
13	door003.jpg	door004.jpg	1679	496304.65	494624.70	j	1	0
17	door002.jpg	door000.jpg	11344	508668.96	497324.44	j	1	0
27	door005.jpg	door002.jpg	3087	512777.07	509689.97	f	1	0
7	door001.jpg	door003.jpg	2276	516082.69	513806.25	j	1	0
22	door003.jpg	door001.jpg	3210	520316.95	517105.95	f	1	0
2	door000.jpg	door002.jpg	3599	524938.06	521338.90	f	1	0
24	door005.jpg	door001.jpg	17386	543358.16	525971.81	f	1	0
9	door001.jpg	door005.jpg	4256	548643.28	544386.78	j	1	0
10	door002.jpg	door003.jpg	2769	552439.57	549669.62	j	1	0
26	door004.jpg	door002.jpg	1859	555328.74	553469.27	f	1	0
1	door000.jpg	door001.jpg	5054	561406.86	556352.35	f	1	0
29	door005.jpg	door003.jpg	1199	563634.56	562435.12	j	1	0
11	door002.jpg	door004.jpg	1464	566133.08	564668.25	j	1	0
28	door004.jpg	door003.jpg	1327	568495.90	567168.02	f	1	0
12	door002.jpg	door005.jpg	2994	572512.12	569517.81	j	1	0
23	door004.jpg	door001.jpg	1126	574660.61	573534.11	f	1	0
20	door005.jpg	door000.jpg	6939	582623.20	575683.91	f	1	0
4	door000.jpg	door004.jpg	604	584254.33	583649.83	j	1	0
3	door000.jpg	door003.jpg	1405	586688.44	585283.02	j	1	0
25	door003.jpg	door002.jpg	662	588378.76	587716.13	f	1	0
15	door004.jpg	door005.jpg	729	590128.73	589399.32	f	1	0
19	door004.jpg	door000.jpg	540	591689.51	591149.16	f	1	0
30	door005.jpg	door004.jpg	476	593192.35	592715.68	j	1	0
53	door010.jpg	door007.jpg	5502	872959.56	867457.06	f	2	1
58	door010.jpg	door009.jpg	1263	875270.13	874006.47	f	2	1
56	door010.jpg	door008.jpg	1407	877713.92	876306.26	f	2	1
34	door006.jpg	door010.jpg	942	879698.67	878756.05	j	2	1
51	door008.jpg	door007.jpg	8060	888783.01	880722.54	j	2	1
44	door009.jpg	door011.jpg	3437	893259.35	889821.69	j	2	1
49	door010.jpg	door006.jpg	1200	895488.72	894287.94	f	2	1
42	door008.jpg	door011.jpg	1026	897547.39	896521.08	j	2	1
36	door007.jpg	door008.jpg	4031	902602.25	898570.89	f	2	1
52	door009.jpg	door007.jpg	1542	905179.87	903637.08	j	2	1
60	door011.jpg	door010.jpg	1399	907602.93	906203.52	j	2	1
41	door008.jpg	door010.jpg	782	909419.26	908636.64	j	2	1
50	door011.jpg	door006.jpg	1564	912018.05	910453.14	f	2	1
47	door008.jpg	door006.jpg	4319	917372.80	913052.89	j	2	1
46	door007.jpg	door006.jpg	4386	922788.97	918402.40	f	2	1
31	door006.jpg	door007.jpg	4573	928391.60	923818.58	j	2	1
45	door010.jpg	door011.jpg	3975	933393.36	929418.05	f	2	1
38	door007.jpg	door010.jpg	1603	936020.88	934417.60	j	2	1
40	door008.jpg	door009.jpg	2947	939998.57	937050.69	f	2	1
48	door009.jpg	door006.jpg	2084	943117.98	941033.65	f	2	1
33	door006.jpg	door009.jpg	1937	946087.83	944150.04	f	2	1
43	door009.jpg	door010.jpg	645	947762.21	947116.43	j	2	1
54	door011.jpg	door007.jpg	4987	953770.83	948782.93	f	2	1
32	door006.jpg	door008.jpg	1644	956443.09	954799.06	f	2	1
59	door011.jpg	door009.jpg	2070	959535.76	957465.47	f	2	1
37	door007.jpg	door009.jpg	1078	961644.13	960565.18	f	2	1
55	door009.jpg	door008.jpg	871	963536.42	962664.99	j	2	1
39	door007.jpg	door011.jpg	1891	966456.42	964564.83	j	2	1
57	door011.jpg	door008.jpg	1490	968971.60	967481.22	f	2	1
35	door006.jpg	door011.jpg	1146	971144.08	969997.66	j	2	1
83	door016.jpg	door013.jpg	3420	1141986.21	1138565.48	f	3	2
70	door014.jpg	door015.jpg	6672	1149720.42	1143048.41	f	3	2
69	door013.jpg	door017.jpg	7958	1158722.76	1150764.36	j	3	2
81	door014.jpg	door013.jpg	3551	1163298.56	1159746.88	j	3	2
62	door012.jpg	door014.jpg	10563	1174910.21	1164346.44	j	3	2
71	door014.jpg	door016.jpg	1985	1177930.99	1175945.39	j	3	2
79	door016.jpg	door012.jpg	973	1179935.00	1178961.77	f	3	2
65	door012.jpg	door017.jpg	1168	1182130.19	1180961.60	j	3	2
73	door015.jpg	door016.jpg	1383	1184544.74	1183161.40	j	3	2
80	door017.jpg	door012.jpg	1148	1186725.97	1185577.83	f	3	2
77	door014.jpg	door012.jpg	4851	1192612.40	1187760.97	f	3	2
66	door013.jpg	door014.jpg	8746	1202390.15	1193643.77	f	3	2
88	door016.jpg	door015.jpg	3150	1206576.48	1203426.20	f	3	2
86	door016.jpg	door014.jpg	866	1208476.09	1207609.15	f	3	2
