DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
126580.46	131172.72	4592	door001.jpg	1	0
132163.32	138261.58	6098	door001.jpg	1	0
139262.69	144218.22	4955	door001.jpg	1	0
145295.48	146734.56	1439	door004.jpg	1	0
147728.61	151019.83	3291	door003.jpg	1	0
156427.85	157768.50	1340	door005.jpg	1	0
163110.62	164743.05	1632	door004.jpg	1	0
165677.05	167772.17	2095	door003.jpg	1	0
173143.06	173969.54	826	door005.jpg	1	0
179309.19	180018.25	709	door005.jpg	1	0
185358.66	186665.16	1306	door003.jpg	1	0
192041.41	192788.92	747	door005.jpg	1	0
198124.22	198715.56	591	door003.jpg	1	0
204107.03	204819.45	712	door001.jpg	1	0
205806.88	206660.56	853	door003.jpg	1	0
212039.66	212614.73	575	door005.jpg	1	0
217955.82	218590.48	634	door001.jpg	1	0
219555.67	220226.00	670	door004.jpg	1	0
221188.87	222025.17	836	door004.jpg	1	0
223005.38	223601.51	596	door004.jpg	1	0
453851.90	455544.71	1692	door011.jpg	2	1
460884.62	461475.89	591	door011.jpg	2	1
466834.09	467756.78	922	door010.jpg	2	1
468717.27	469187.38	470	door010.jpg	2	1
470133.82	470861.56	727	door011.jpg	2	1
476216.61	476680.17	463	door007.jpg	2	1
477633.15	478497.65	864	door011.jpg	2	1
483849.27	484441.05	591	door009.jpg	2	1
489798.76	490265.30	466	door009.jpg	2	1
495614.92	496119.38	504	door009.jpg	2	1
501464.42	502038.49	574	door011.jpg	2	1
507363.90	507933.33	569	door009.jpg	2	1
513280.04	514206.62	926	door007.jpg	2	1
515163.23	515724.40	561	door009.jpg	2	1
521079.38	521811.85	732	door010.jpg	2	1
522745.89	523360.13	614	door007.jpg	2	1
524312.42	524947.02	634	door010.jpg	2	1
525895.60	526413.54	517	door007.jpg	2	1
527378.83	528089.55	710	door007.jpg	2	1
529045.34	529775.39	730	door010.jpg	2	1
678882.25	679792.73	910	door015.jpg	3	2
685165.04	685733.58	568	door013.jpg	3	2
686731.58	687199.65	468	door017.jpg	3	2
692597.73	693025.53	427	door016.jpg	3	2
693964.27	694552.35	588	door017.jpg	3	2
699880.42	700264.68	384	door013.jpg	3	2
701263.65	701634.76	371	door016.jpg	3	2
702596.86	703164.32	567	door013.jpg	3	2
704163.38	704656.59	493	door015.jpg	3	2
710029.54	710507.67	478	door013.jpg	3	2
711479.42	712124.91	645	door015.jpg	3	2
717495.56	717920.26	424	door015.jpg	3	2
723311.72	723868.66	556	door016.jpg	3	2
724828.25	725325.60	497	door017.jpg	3	2
730661.08	731313.29	652	door016.jpg	3	2
732260.94	732732.64	471	door016.jpg	3	2
733677.47	737801.27	4123	door015.jpg	3	2
743193.31	743661.49	468	door013.jpg	3	2
744659.86	745288.17	628	door017.jpg	3	2
750626.00	753381.80	2755	door017.jpg	3	2
890230.47	891066.56	836	door018.jpg	4	3
892047.00	892445.13	398	door018.jpg	4	3
893430.21	893903.01	472	door019.jpg	4	3
894896.75	895388.30	491	door019.jpg	4	3
896396.61	897116.87	720	door020.jpg	4	3
902446.09	902952.63	506	door019.jpg	4	3
903929.30	904401.46	472	door020.jpg	4	3
909728.79	910157.58	428	door019.jpg	4	3
911112.00	911712.93	600	door018.jpg	4	3
912661.86	913343.96	682	door021.jpg	4	3
918694.67	919152.47	457	door021.jpg	4	3
924510.82	925072.41	561	door020.jpg	4	3
930410.32	930983.53	573	door018.jpg	4	3
931926.85	932294.61	367	door018.jpg	4	3
933243.39	933681.04	437	door020.jpg	4	3
939009.57	939306.25	296	door019.jpg	4	3
940259.45	940552.69	293	door021.jpg	4	3
945908.97	946293.54	384	door020.jpg	4	3
951625.12	951940.11	314	door021.jpg	4	3
957291.31	957911.98	620	door021.jpg	4	3
1085596.77	1086431.60	834	door026.jpg	5	4
1091796.23	1092295.13	498	door025.jpg	5	4
1093262.77	1093848.56	585	door024.jpg	5	4
1094812.63	1095844.99	1032	door025.jpg	5	4
1096795.80	1097478.88	683	door027.jpg	5	4
1102811.94	1103296.66	484	door024.jpg	5	4
1104261.82	1104753.69	491	door024.jpg	5	4
1105711.69	1106374.89	663	door025.jpg	5	4
1107311.54	1108071.62	760	door024.jpg	5	4
1109028.06	1109630.48	602	door025.jpg	5	4
1110577.93	1111169.76	591	door027.jpg	5	4
1116510.75	1117010.05	499	door025.jpg	5	4
1117943.95	1118535.24	591	door027.jpg	5	4
1123876.76	1124142.78	266	door026.jpg	5	4
1129492.93	1129750.55	257	door026.jpg	5	4
1135092.45	1135702.43	609	door027.jpg	5	4
1141041.94	1141451.12	409	door024.jpg	5	4
1142408.47	1143220.66	812	door027.jpg	5	4
1148557.95	1149084.02	526	door026.jpg	5	4
1154440.76	1154814.15	373	door026.jpg	5	4
1270363.96	1270883.86	519	door030.jpg	6	5
1271847.18	1272263.81	416	door030.jpg	6	5
1273213.73	1273548.43	334	door031.jpg	6	5
1274530.29	1275037.47	507	door033.jpg	6	5
1280413.11	1280778.26	365	door032.jpg	6	5
1286112.61	1286372.85	260	door031.jpg	6	5
1287329.17	1287665.49	336	door031.jpg	6	5
1288629.06	1288999.47	370	door031.jpg	6	5
1289962.27	1290429.37	467	door030.jpg	6	5
1291378.81	1291773.66	394	door031.jpg	6	5
1292728.70	1293251.66	522	door032.jpg	6	5
1298578.18	1298917.95	339	door030.jpg	6	5
1299861.40	1300270.60	409	door033.jpg	6	5
1305627.56	1306239.31	611	door032.jpg	6	5
1311577.05	1311981.87	404	door030.jpg	6	5
1312926.93	1313491.99	565	door032.jpg	6	5
1318826.42	1319280.27	453	door032.jpg	6	5
1324609.25	1324891.86	282	door033.jpg	6	5
1330242.10	1330481.94	239	door033.jpg	6	5
1335824.93	1336330.57	505	door033.jpg	6	5
