id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
13	door003.jpg	door004.jpg	3607	341998.03	338390.68	f	1	0
24	door005.jpg	door001.jpg	3105	346179.54	343073.58	f	1	0
28	door004.jpg	door003.jpg	5486	352692.69	347206.53	f	1	0
30	door005.jpg	door004.jpg	3261	356984.08	353722.60	j	1	0
22	door003.jpg	door001.jpg	6503	364509.52	358005.54	f	1	0
25	door003.jpg	door002.jpg	2587	368142.06	365554.85	j	1	0
4	door000.jpg	door004.jpg	7777	376965.75	369187.83	j	1	0
20	door005.jpg	door000.jpg	3676	381663.15	377987.03	j	1	0
14	door003.jpg	door005.jpg	3929	386615.92	382686.62	j	1	0
12	door002.jpg	door005.jpg	2047	389684.04	387636.15	f	1	0
2	door000.jpg	door002.jpg	3060	393779.67	390719.21	j	1	0
9	door001.jpg	door005.jpg	5467	400269.54	394802.17	f	1	0
1	door000.jpg	door001.jpg	4026	405327.91	401301.56	f	1	0
18	door003.jpg	door000.jpg	5254	411605.52	406351.10	f	1	0
11	door002.jpg	door004.jpg	6094	418728.35	412633.84	j	1	0
17	door002.jpg	door000.jpg	4482	424232.31	419749.87	j	1	0
5	door000.jpg	door005.jpg	1241	426507.74	425266.03	f	1	0
27	door005.jpg	door002.jpg	2595	430128.30	427532.49	j	1	0
29	door005.jpg	door003.jpg	5372	436521.13	431148.81	j	1	0
15	door004.jpg	door005.jpg	3302	440850.23	437548.22	j	1	0
8	door001.jpg	door004.jpg	1571	443452.92	441881.17	j	1	0
23	door004.jpg	door001.jpg	922	445403.76	444480.91	f	1	0
6	door001.jpg	door002.jpg	1719	448150.09	446430.75	j	1	0
16	door001.jpg	door000.jpg	1146	450326.68	449180.50	j	1	0
3	door000.jpg	door003.jpg	2517	453864.55	451346.96	j	1	0
21	door002.jpg	door001.jpg	1669	456566.13	454896.64	f	1	0
10	door002.jpg	door003.jpg	5271	462868.20	457596.39	j	1	0
26	door004.jpg	door002.jpg	2110	466006.72	463895.81	j	1	0
7	door001.jpg	door003.jpg	2180	469208.88	467028.85	j	1	0
19	door004.jpg	door000.jpg	3721	473950.42	470228.57	j	1	0
52	door009.jpg	door007.jpg	7424	720030.88	712606.27	f	2	1
57	door011.jpg	door008.jpg	2793	723882.13	721088.81	j	2	1
49	door010.jpg	door006.jpg	1612	726551.16	724938.45	j	2	1
60	door011.jpg	door010.jpg	3824	731396.14	727571.57	f	2	1
42	door008.jpg	door011.jpg	1357	733778.74	732421.12	f	2	1
48	door009.jpg	door006.jpg	1034	735838.54	734804.24	j	2	1
46	door007.jpg	door006.jpg	1475	738345.96	736870.72	j	2	1
44	door009.jpg	door011.jpg	2186	741557.12	739370.48	j	2	1
47	door008.jpg	door006.jpg	1614	744201.21	742586.85	j	2	1
51	door008.jpg	door007.jpg	1718	746955.02	745236.62	f	2	1
37	door007.jpg	door009.jpg	5404	753390.91	747986.35	f	2	1
35	door006.jpg	door011.jpg	1400	755819.89	754419.11	f	2	1
55	door009.jpg	door008.jpg	2113	758965.37	756852.20	j	2	1
53	door010.jpg	door007.jpg	3702	763687.64	759985.25	f	2	1
31	door006.jpg	door007.jpg	5240	769958.44	764718.15	f	2	1
38	door007.jpg	door010.jpg	3887	774871.27	770984.23	j	2	1
43	door009.jpg	door010.jpg	1504	777405.03	775900.45	j	2	1
39	door007.jpg	door011.jpg	2086	780519.94	778433.55	j	2	1
41	door008.jpg	door010.jpg	2023	783573.48	781549.95	f	2	1
56	door010.jpg	door008.jpg	1036	785636.42	784599.66	j	2	1
59	door011.jpg	door009.jpg	4891	791557.52	786666.13	f	2	1
34	door006.jpg	door010.jpg	1098	793680.82	792582.25	f	2	1
36	door007.jpg	door008.jpg	2164	796880.13	794715.39	j	2	1
45	door010.jpg	door011.jpg	3292	801207.92	797915.10	j	2	1
32	door006.jpg	door008.jpg	2636	804867.98	802231.36	f	2	1
33	door006.jpg	door009.jpg	2658	808556.66	805897.70	f	2	1
54	door011.jpg	door007.jpg	2443	812023.92	809580.70	f	2	1
40	door008.jpg	door009.jpg	1702	814749.52	813047.04	f	2	1
50	door011.jpg	door006.jpg	1406	817186.51	815780.13	j	2	1
58	door010.jpg	door009.jpg	1462	819675.28	818213.22	f	2	1
80	door017.jpg	door012.jpg	1709	981091.70	979381.74	j	3	2
84	door017.jpg	door013.jpg	1909	984041.05	982131.50	f	3	2
72	door014.jpg	door017.jpg	2343	987424.97	985081.23	f	3	2
69	door013.jpg	door017.jpg	1221	989669.42	988447.58	j	3	2
70	door014.jpg	door015.jpg	1820	992534.64	990714.04	f	3	2
85	door015.jpg	door014.jpg	1284	994848.25	993563.77	j	3	2
81	door014.jpg	door013.jpg	1954	997834.31	995880.23	f	3	2
86	door016.jpg	door014.jpg	1913	1000793.22	998879.95	j	3	2
66	door013.jpg	door014.jpg	851	1002664.49	1001813.02	j	3	2
71	door014.jpg	door016.jpg	1631	1005327.57	1003696.19	f	3	2
67	door013.jpg	door015.jpg	2315	1008677.84	1006362.61	f	3	2
89	door017.jpg	door015.jpg	1826	1011538.71	1009712.29	f	3	2
83	door016.jpg	door013.jpg	2008	1014570.44	1012562.04	f	3	2
61	door012.jpg	door013.jpg	3667	1019262.30	1015595.10	f	3	2
82	door015.jpg	door013.jpg	2173	1022468.26	1020294.66	j	3	2
64	door012.jpg	door016.jpg	3558	1027052.62	1023494.35	f	3	2
78	door015.jpg	door012.jpg	1558	1029635.32	1028077.28	j	3	2
90	door017.jpg	door016.jpg	5437	1036098.24	1030660.37	f	3	2
88	door016.jpg	door015.jpg	1316	1038443.36	1037126.44	f	3	2
79	door016.jpg	door012.jpg	1318	1040794.93	1039476.22	j	3	2
76	door013.jpg	door012.jpg	1123	1042949.58	1041826.01	j	3	2
77	door014.jpg	door012.jpg	1207	1045182.98	1043975.82	j	3	2
73	door015.jpg	door016.jpg	1332	1047541.59	1046208.94	j	3	2
68	door013.jpg	door016.jpg	1989	1050565.05	1048575.39	j	3	2
63	door012.jpg	door015.jpg	2473	1054065.75	1051591.78	f	3	2
75	door016.jpg	door017.jpg	1598	1056690.00	1055091.46	f	3	2
87	door017.jpg	door014.jpg	910	1058635.01	1057724.55	j	3	2
74	door015.jpg	door017.jpg	1125	1060783.37	1059657.70	j	3	2
65	door012.jpg	door017.jpg	856	1062664.26	1061807.52	f	3	2
62	door012.jpg	door014.jpg	1892	1065583.36	1063690.67	f	3	2
115	door021.jpg	door020.jpg	1801	1208528.60	1206727.50	j	4	3
116	door022.jpg	door020.jpg	2244	1211822.14	1209577.24	f	4	3
120	door023.jpg	door022.jpg	1148	1214009.27	1212860.28	j	4	3
113	door022.jpg	door019.jpg	1134	1216194.38	1215060.07	f	4	3
102	door020.jpg	door023.jpg	6041	1223268.54	1217226.55	j	4	3
108	door021.jpg	door018.jpg	1894	1226204.02	1224309.22	j	4	3
111	door020.jpg	door019.jpg	1479	1228704.73	1227225.63	f	4	3
109	door022.jpg	door018.jpg	1182	1230908.23	1229725.40	f	4	3
106	door019.jpg	door018.jpg	1668	1233610.58	1231941.87	j	4	3
95	door018.jpg	door023.jpg	2614	1237256.56	1234641.62	f	4	3
117	door023.jpg	door020.jpg	4125	1242416.32	1238291.27	f	4	3
103	door021.jpg	door022.jpg	1417	1244858.55	1243440.80	j	4	3
93	door018.jpg	door021.jpg	1045	1246936.04	1245890.58	f	4	3
96	door019.jpg	door020.jpg	1202	1249159.75	1247957.06	j	4	3
100	door020.jpg	door021.jpg	1177	1251367.99	1250190.19	f	4	3
114	door023.jpg	door019.jpg	2681	1255071.90	1252389.99	f	4	3
91	door018.jpg	door019.jpg	1188	1257295.07	1256106.32	f	4	3
104	door021.jpg	door023.jpg	990	1259313.67	1258322.77	j	4	3
101	door020.jpg	door022.jpg	1714	1262053.33	1260339.25	f	4	3
92	door018.jpg	door020.jpg	5201	1268290.92	1263089.00	f	4	3
94	door018.jpg	door022.jpg	969	1270291.51	1269321.76	j	4	3
118	door022.jpg	door021.jpg	1046	1272367.85	1271321.57	f	4	3
99	door019.jpg	door023.jpg	1367	1274755.25	1273388.05	j	4	3
105	door022.jpg	door023.jpg	1157	1276945.73	1275787.84	f	4	3
119	door023.jpg	door021.jpg	934	1278905.22	1277970.96	f	4	3
107	door020.jpg	door018.jpg	1394	1281332.04	1279937.45	j	4	3
98	door019.jpg	door022.jpg	1028	1283382.49	1282353.89	j	4	3
110	door023.jpg	door018.jpg	1085	1285488.97	1284403.71	j	4	3
112	door021.jpg	door019.jpg	1892	1288412.72	1286520.19	j	4	3
97	door019.jpg	door021.jpg	793	1290230.34	1289436.58	f	4	3
130	door026.jpg	door027.jpg	3106	1488875.17	1485768.51	f	5	4
148	door028.jpg	door027.jpg	1157	1491075.66	1489918.14	f	5	4
129	door025.jpg	door029.jpg	1781	1493915.91	1492134.61	f	5	4
135	door028.jpg	door029.jpg	2181	1497132.97	1494951.02	f	5	4
147	door029.jpg	door026.jpg	4105	1502273.24	1498167.38	f	5	4
134	door027.jpg	door029.jpg	1353	1504653.34	1503300.25	j	5	4
149	door029.jpg	door027.jpg	4020	1509703.72	1505683.36	f	5	4
136	door025.jpg	door024.jpg	3661	1514411.07	1510749.57	f	5	4
125	door024.jpg	door029.jpg	4396	1519828.72	1515432.47	j	5	4
126	door025.jpg	door026.jpg	1873	1522722.40	1520848.63	f	5	4
127	door025.jpg	door027.jpg	4681	1528429.44	1523748.37	f	5	4
142	door027.jpg	door025.jpg	1995	1531459.94	1529464.51	j	5	4
138	door027.jpg	door024.jpg	5638	1538136.24	1532497.57	f	5	4
146	door028.jpg	door026.jpg	2354	1541517.79	1539163.63	f	5	4
132	door026.jpg	door029.jpg	3856	1546402.87	1542546.64	j	5	4
122	door024.jpg	door026.jpg	5182	1552612.22	1547429.53	j	5	4
124	door024.jpg	door028.jpg	981	1554626.89	1553645.62	j	5	4
145	door027.jpg	door026.jpg	2923	1558586.07	1555662.09	j	5	4
141	door026.jpg	door025.jpg	3432	1563044.58	1559611.74	j	5	4
123	door024.jpg	door027.jpg	2642	1566720.03	1564077.99	f	5	4
150	door029.jpg	door028.jpg	1341	1569085.61	1567744.33	j	5	4
131	door026.jpg	door028.jpg	1178	1571289.15	1570110.78	j	5	4
137	door026.jpg	door024.jpg	1996	1574306.94	1572310.58	j	5	4
144	door029.jpg	door025.jpg	4051	1579378.86	1575326.97	f	5	4
133	door027.jpg	door028.jpg	822	1581232.68	1580409.84	j	5	4
139	door028.jpg	door024.jpg	1037	1583296.80	1582259.66	f	5	4
140	door029.jpg	door024.jpg	4646	1588972.57	1584326.14	j	5	4
128	door025.jpg	door028.jpg	1134	1591126.61	1589992.28	j	5	4
121	door024.jpg	door025.jpg	3579	1595738.11	1592158.75	f	5	4
143	door028.jpg	door025.jpg	1072	1597830.67	1596758.32	f	5	4
163	door033.jpg	door034.jpg	1725	1789799.19	1788074.08	j	6	5
169	door034.jpg	door030.jpg	844	1791701.24	1790857.14	f	6	5
151	door030.jpg	door031.jpg	3203	1795960.80	1792756.98	f	6	5
162	door032.jpg	door035.jpg	2391	1799414.94	1797023.25	j	6	5
175	door033.jpg	door032.jpg	2001	1802441.43	1800439.60	j	6	5
152	door030.jpg	door032.jpg	4069	1807542.09	1803472.65	f	6	5
160	door032.jpg	door033.jpg	3382	1811955.03	1808572.18	f	6	5
157	door031.jpg	door033.jpg	2670	1815658.74	1812988.45	f	6	5
174	door035.jpg	door031.jpg	1156	1817844.73	1816688.11	f	6	5
168	door033.jpg	door030.jpg	2623	1821494.41	1818871.24	j	6	5
161	door032.jpg	door034.jpg	1186	1823707.02	1822520.91	j	6	5
166	door031.jpg	door030.jpg	2660	1827397.63	1824737.36	j	6	5
156	door031.jpg	door032.jpg	2198	1830619.28	1828420.37	j	6	5
179	door035.jpg	door033.jpg	1564	1833217.81	1831653.39	f	6	5
176	door034.jpg	door032.jpg	841	1835094.84	1834253.16	f	6	5
177	door035.jpg	door032.jpg	1088	1837207.80	1836119.65	f	6	5
178	door034.jpg	door033.jpg	894	1839130.71	1838236.13	f	6	5
165	door034.jpg	door035.jpg	1103	1841255.87	1840152.61	j	6	5
180	door035.jpg	door034.jpg	1072	1843358.30	1842285.76	j	6	5
172	door033.jpg	door031.jpg	1866	1846252.01	1844385.56	j	6	5
173	door034.jpg	door031.jpg	930	1848215.73	1847285.30	f	6	5
154	door030.jpg	door034.jpg	882	1850134.23	1849251.77	j	6	5
171	door032.jpg	door031.jpg	1599	1852768.04	1851168.28	f	6	5
164	door033.jpg	door035.jpg	1104	1854906.26	1853801.35	j	6	5
153	door030.jpg	door033.jpg	2016	1857950.65	1855934.50	f	6	5
159	door031.jpg	door035.jpg	1421	1860405.71	1858984.22	j	6	5
155	door030.jpg	door035.jpg	975	1862409.25	1861434.00	j	6	5
167	door032.jpg	door030.jpg	1174	1864608.61	1863433.81	f	6	5
158	door031.jpg	door034.jpg	957	1866591.21	1865633.61	j	6	5
170	door035.jpg	door030.jpg	648	1868264.79	1867616.77	f	6	5
