id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
4	door000.jpg	door004.jpg	10696	636496.40	625800.22	f	1	0
21	door002.jpg	door001.jpg	10234	647816.56	637582.47	f	1	0
12	door002.jpg	door005.jpg	11858	660723.32	648864.77	j	1	0
9	door001.jpg	door005.jpg	3749	665495.98	661746.92	j	1	0
19	door004.jpg	door000.jpg	2119	668666.41	666546.47	j	1	0
23	door004.jpg	door001.jpg	2494	672190.25	669696.20	f	1	0
11	door002.jpg	door004.jpg	1301	674513.54	673212.54	j	1	0
27	door005.jpg	door002.jpg	2159	677705.20	675545.66	f	1	0
2	door000.jpg	door002.jpg	2250	680978.88	678728.69	f	1	0
15	door004.jpg	door005.jpg	5018	687029.75	682011.72	j	1	0
10	door002.jpg	door003.jpg	3974	692052.02	688077.83	f	1	0
25	door003.jpg	door002.jpg	3571	696649.34	693077.38	j	1	0
14	door003.jpg	door005.jpg	3846	701523.03	697676.94	j	1	0
5	door000.jpg	door005.jpg	2167	704711.10	702543.18	f	1	0
22	door003.jpg	door001.jpg	11989	717732.31	705742.88	j	1	0
18	door003.jpg	door000.jpg	958	719716.86	718758.34	j	1	0
6	door001.jpg	door002.jpg	1451	722193.13	720741.50	j	1	0
30	door005.jpg	door004.jpg	5771	728996.05	723224.60	f	1	0
1	door000.jpg	door001.jpg	942	730966.52	730023.99	f	1	0
28	door004.jpg	door003.jpg	2240	734231.35	731990.46	f	1	0
16	door001.jpg	door000.jpg	1477	736734.01	735256.84	j	1	0
17	door002.jpg	door000.jpg	6845	744602.24	737756.61	j	1	0
8	door001.jpg	door004.jpg	11248	756871.34	745622.55	j	1	0
13	door003.jpg	door004.jpg	8074	765979.14	757904.75	j	1	0
24	door005.jpg	door001.jpg	2233	769237.30	767003.91	f	1	0
26	door004.jpg	door002.jpg	2567	772837.51	770270.27	j	1	0
20	door005.jpg	door000.jpg	777	774647.00	773869.95	j	1	0
7	door001.jpg	door003.jpg	2116	777786.62	775669.78	j	1	0
29	door005.jpg	door003.jpg	1614	780434.15	778819.50	f	1	0
3	door000.jpg	door003.jpg	1973	783443.21	781469.25	f	1	0
39	door007.jpg	door011.jpg	5479	1040724.99	1035245.91	j	2	1
52	door009.jpg	door007.jpg	13900	1055662.59	1041761.99	f	2	1
53	door010.jpg	door007.jpg	4058	1060769.60	1056710.62	f	2	1
36	door007.jpg	door008.jpg	1730	1063540.62	1061810.14	j	2	1
42	door008.jpg	door011.jpg	1044	1065621.08	1064576.56	f	2	1
46	door007.jpg	door006.jpg	836	1067496.42	1066659.69	j	2	1
