DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
197751.54	204720.17	6968	door004.jpg	1	0
205700.81	209566.56	3865	door001.jpg	1	0
210550.37	211755.62	1205	door004.jpg	1	0
212750.16	216148.33	3398	door003.jpg	1	0
221499.36	223129.96	1630	door004.jpg	1	0
224065.80	224712.91	647	door001.jpg	1	0
225665.66	228008.70	2343	door003.jpg	1	0
233381.60	234064.83	683	door003.jpg	1	0
239414.38	239689.80	275	door004.jpg	1	0
240630.94	241898.86	1267	door001.jpg	1	0
242864.06	243491.21	627	door001.jpg	1	0
244463.92	245950.71	1486	door005.jpg	1	0
251279.97	252812.02	1532	door001.jpg	1	0
253763.06	255530.98	1767	door003.jpg	1	0
260879.07	263477.51	2598	door005.jpg	1	0
268811.68	269963.34	1151	door004.jpg	1	0
270911.49	272078.08	1166	door003.jpg	1	0
277427.56	278387.44	959	door005.jpg	1	0
283726.99	284335.11	608	door005.jpg	1	0
289676.42	290161.10	484	door005.jpg	1	0
514322.44	517499.24	3176	door011.jpg	2	1
522838.32	524128.13	1289	door011.jpg	2	1
529471.05	530787.07	1316	door010.jpg	2	1
531737.51	535539.38	3801	door007.jpg	2	1
536503.74	537891.88	1388	door011.jpg	2	1
543236.45	547628.08	4391	door009.jpg	2	1
552985.57	553822.84	837	door007.jpg	2	1
554785.38	556590.80	1805	door007.jpg	2	1
557551.81	558578.84	1027	door010.jpg	2	1
559518.30	560187.98	669	door007.jpg	2	1
561151.47	562918.95	1767	door010.jpg	2	1
563851.22	565194.94	1343	door009.jpg	2	1
570550.62	576141.10	5590	door010.jpg	2	1
577083.34	579021.01	1937	door011.jpg	2	1
584349.33	589624.63	5275	door009.jpg	2	1
594981.70	595704.81	723	door007.jpg	2	1
596664.88	597752.70	1087	door009.jpg	2	1
603097.62	603892.78	795	door011.jpg	2	1
609230.38	609775.38	545	door010.jpg	2	1
610713.58	611334.58	621	door009.jpg	2	1
785514.16	787586.07	2071	door015.jpg	3	2
792913.50	793768.77	855	door015.jpg	3	2
799096.27	799509.36	413	door015.jpg	3	2
804845.73	805163.48	317	door015.jpg	3	2
