id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
29	door005.jpg	door003.jpg	24658	387031.63	362372.96	f	1	0
10	door002.jpg	door003.jpg	1472	389543.09	388070.82	f	1	0
5	door000.jpg	door005.jpg	2333	392920.80	390587.29	f	1	0
8	door001.jpg	door004.jpg	1686	395690.18	394003.66	j	1	0
1	door000.jpg	door001.jpg	1650	398370.55	396720.11	f	1	0
24	door005.jpg	door001.jpg	4095	403498.36	399403.23	f	1	0
26	door004.jpg	door002.jpg	2013	406533.12	404519.47	j	1	0
14	door003.jpg	door005.jpg	2373	409942.79	407569.22	j	1	0
23	door004.jpg	door001.jpg	978	411947.21	410968.93	f	1	0
27	door005.jpg	door002.jpg	4200	417168.94	412968.76	j	1	0
28	door004.jpg	door003.jpg	2153	420355.05	418201.67	j	1	0
9	door001.jpg	door005.jpg	937	422322.55	421384.72	j	1	0
16	door001.jpg	door000.jpg	1222	424573.27	423351.22	j	1	0
12	door002.jpg	door005.jpg	1658	427259.60	425601.04	j	1	0
22	door003.jpg	door001.jpg	11392	439677.06	428284.16	f	1	0
18	door003.jpg	door000.jpg	1298	441998.09	440699.78	j	1	0
17	door002.jpg	door000.jpg	5872	448905.11	443032.93	j	1	0
3	door000.jpg	door003.jpg	1437	451370.04	449932.36	f	1	0
11	door002.jpg	door004.jpg	1034	453433.51	452398.83	j	1	0
30	door005.jpg	door004.jpg	1388	455853.33	454465.32	j	1	0
21	door002.jpg	door001.jpg	1063	457945.60	456881.77	f	1	0
2	door000.jpg	door002.jpg	826	459807.96	458981.59	f	1	0
7	door001.jpg	door003.jpg	1427	462259.01	460831.45	f	1	0
20	door005.jpg	door000.jpg	844	464126.09	463281.24	f	1	0
6	door001.jpg	door002.jpg	1294	466442.50	465147.77	j	1	0
4	door000.jpg	door004.jpg	1250	468714.85	467464.22	j	1	0
13	door003.jpg	door004.jpg	808	470555.57	469747.38	j	1	0
15	door004.jpg	door005.jpg	945	472525.91	471580.55	j	1	0
