id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
15	door004.jpg	door005.jpg	2580	251247.12	248666.27	j	1	0
29	door005.jpg	door003.jpg	1637	253936.57	252299.28	f	1	0
3	door000.jpg	door003.jpg	973	255956.22	254982.39	f	1	0
18	door003.jpg	door000.jpg	936	257918.89	256982.23	j	1	0
26	door004.jpg	door002.jpg	1390	260355.89	258965.39	j	1	0
1	door000.jpg	door001.jpg	967	262366.20	261398.54	f	1	0
5	door000.jpg	door005.jpg	2018	265417.18	263398.36	f	1	0
12	door002.jpg	door005.jpg	3873	270321.15	266448.12	f	1	0
6	door001.jpg	door002.jpg	1517	272865.06	271347.72	j	1	0
10	door002.jpg	door003.jpg	1378	275275.77	273897.50	f	1	0
28	door004.jpg	door003.jpg	1419	277716.60	276297.30	f	1	0
24	door005.jpg	door001.jpg	1348	280095.96	278747.08	f	1	0
25	door003.jpg	door002.jpg	816	281946.74	281130.22	j	1	0
9	door001.jpg	door005.jpg	1518	284498.87	282980.07	f	1	0
21	door002.jpg	door001.jpg	1128	286658.86	285529.86	f	1	0
2	door000.jpg	door002.jpg	902	288582.53	287679.70	f	1	0
23	door004.jpg	door001.jpg	609	290222.41	289612.86	j	1	0
7	door001.jpg	door003.jpg	1359	292605.27	291246.06	f	1	0
4	door000.jpg	door004.jpg	856	294485.75	293629.20	f	1	0
27	door005.jpg	door002.jpg	895	296407.40	295512.37	j	1	0
11	door002.jpg	door004.jpg	1241	298670.04	297428.87	f	1	0
19	door004.jpg	door000.jpg	746	300441.36	299695.35	j	1	0
22	door003.jpg	door001.jpg	1295	302757.32	301461.87	j	1	0
14	door003.jpg	door005.jpg	973	304751.63	303778.35	f	1	0
17	door002.jpg	door000.jpg	616	306394.64	305778.17	j	1	0
30	door005.jpg	door004.jpg	1385	308813.23	307428.04	f	1	0
8	door001.jpg	door004.jpg	1615	311459.56	309844.52	j	1	0
13	door003.jpg	door004.jpg	858	313352.45	312494.28	j	1	0
20	door005.jpg	door000.jpg	759	315136.67	314377.47	j	1	0
16	door001.jpg	door000.jpg	469	316629.78	316160.66	j	1	0
45	door010.jpg	door011.jpg	2650	483064.42	480413.67	j	2	1
44	door009.jpg	door011.jpg	876	484990.21	484113.36	j	2	1
40	door008.jpg	door009.jpg	1031	487061.23	486029.88	f	2	1
55	door009.jpg	door008.jpg	1718	489814.71	488096.38	j	2	1
33	door006.jpg	door009.jpg	1473	492336.72	490862.80	f	2	1
60	door011.jpg	door010.jpg	1339	494702.31	493362.59	j	2	1
47	door008.jpg	door006.jpg	707	496436.85	495729.08	f	2	1
48	door009.jpg	door006.jpg	1047	498509.40	497462.27	j	2	1
39	door007.jpg	door011.jpg	2600	502162.87	499562.08	j	2	1
