DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
39766.95	45218.26	5451	door003.jpg	1	0
50582.70	59754.56	9171	door001.jpg	1	0
60731.86	62773.84	2041	door001.jpg	1	0
63748.28	70772.80	7024	door001.jpg	1	0
71764.27	73963.32	2199	door002.jpg	1	0
79296.99	80693.39	1396	door001.jpg	1	0
81646.81	82886.89	1240	door003.jpg	1	0
88246.25	107474.45	19228	door003.jpg	1	0
112827.55	113820.32	992	door002.jpg	1	0
119160.34	120182.41	1022	door000.jpg	1	0
121126.86	122011.32	884	door001.jpg	1	0
122976.69	124278.92	1302	door000.jpg	1	0
125243.18	126032.24	789	door002.jpg	1	0
131359.35	133817.27	2457	door000.jpg	1	0
134759.06	135660.42	901	door000.jpg	1	0
136608.90	140008.87	3399	door003.jpg	1	0
145374.84	149135.43	3760	door002.jpg	1	0
154474.09	155814.73	1340	door003.jpg	1	0
161156.87	162152.58	995	door000.jpg	1	0
163090.04	164213.47	1123	door002.jpg	1	0
333509.20	334742.58	1233	door009.jpg	2	1
340092.01	341066.45	974	door009.jpg	2	1
346441.46	347798.73	1357	door008.jpg	2	1
353157.58	354508.15	1350	door006.jpg	2	1
355457.40	356792.38	1334	door008.jpg	2	1
362140.17	364735.37	2595	door007.jpg	2	1
365689.87	367920.76	2230	door006.jpg	2	1
368856.29	370444.35	1588	door009.jpg	2	1
375789.03	377928.16	2139	door007.jpg	2	1
378888.77	380032.82	1144	door006.jpg	2	1
380971.93	381822.12	850	door008.jpg	2	1
387154.76	388623.52	1468	door008.jpg	2	1
393954.19	395118.19	1163	door007.jpg	2	1
396070.69	397225.16	1154	door008.jpg	2	1
402553.48	404622.97	2069	door006.jpg	2	1
405569.89	407536.26	1966	door007.jpg	2	1
408486.31	409339.82	853	door009.jpg	2	1
414685.81	416052.20	1366	door007.jpg	2	1
417002.29	417869.41	867	door009.jpg	2	1
423218.43	424254.61	1036	door006.jpg	2	1
548391.36	550425.08	2033	door014.jpg	3	2
555774.09	557993.85	2219	door013.jpg	3	2
558957.16	561375.57	2418	door013.jpg	3	2
562340.20	563095.82	755	door013.jpg	3	2
564073.39	565605.64	1532	door015.jpg	3	2
570972.82	572384.14	1411	door012.jpg	3	2
573322.62	574018.41	695	door012.jpg	3	2
574955.82	576674.63	1718	door015.jpg	3	2
582021.91	583929.76	1907	door014.jpg	3	2
589271.29	589755.67	484	door014.jpg	3	2
595087.47	597310.94	2223	door015.jpg	3	2
602670.19	603224.20	554	door015.jpg	3	2
608569.70	609362.41	792	door013.jpg	3	2
610319.56	610920.40	600	door015.jpg	3	2
616269.07	617646.99	1377	door012.jpg	3	2
618585.53	619312.13	726	door013.jpg	3	2
620268.72	620844.47	575	door014.jpg	3	2
626184.90	626654.88	469	door014.jpg	3	2
631984.42	632352.77	368	door012.jpg	3	2
633300.98	633738.87	437	door012.jpg	3	2
744208.43	745187.47	979	door019.jpg	4	3
746174.94	748213.13	2038	door023.jpg	4	3
753540.99	756114.17	2573	door023.jpg	4	3
761473.65	762345.19	871	door021.jpg	4	3
767706.48	769229.74	1523	door022.jpg	4	3
770172.94	772175.12	2002	door019.jpg	4	3
773139.35	777022.64	3883	door021.jpg	4	3
782371.94	783181.27	809	door022.jpg	4	3
784121.77	787022.18	2900	door019.jpg	4	3
787971.45	788748.14	776	door022.jpg	4	3
789687.99	792354.17	2666	door021.jpg	4	3
797737.32	798321.54	584	door021.jpg	4	3
803686.83	804338.72	651	door023.jpg	4	3
809669.66	811392.63	1722	door021.jpg	4	3
816752.40	817469.24	716	door019.jpg	4	3
818418.93	819542.79	1123	door023.jpg	4	3
824885.06	825544.40	659	door022.jpg	4	3
826484.93	827438.24	953	door023.jpg	4	3
832767.73	833413.70	645	door022.jpg	4	3
834350.94	834957.75	606	door019.jpg	4	3
941375.38	942460.59	1085	door028.jpg	5	4
943441.88	944508.51	1066	door025.jpg	5	4
945475.04	946677.41	1202	door027.jpg	5	4
952007.84	954226.70	2218	door028.jpg	5	4
955190.90	956085.38	894	door025.jpg	5	4
957040.75	958229.54	1188	door029.jpg	5	4
963573.54	964539.26	965	door025.jpg	5	4
965473.38	966351.23	877	door028.jpg	5	4
967306.57	967828.32	521	door028.jpg	5	4
968789.77	969289.47	499	door028.jpg	5	4
970239.64	971096.05	856	door025.jpg	5	4
972039.50	972591.48	551	door025.jpg	5	4
973539.38	974174.21	634	door027.jpg	5	4
979505.55	980863.26	1357	door029.jpg	5	4
986221.65	986623.72	402	door029.jpg	5	4
991971.18	992285.33	314	door029.jpg	5	4
997637.37	998319.55	682	door027.jpg	5	4
1003653.54	1004021.75	368	door027.jpg	5	4
1009353.07	1009709.23	356	door027.jpg	5	4
1015035.94	1015968.70	932	door029.jpg	5	4
1130609.67	1131949.52	1339	door033.jpg	6	5
1137309.11	1138429.82	1120	door031.jpg	6	5
1139408.94	1142386.78	2977	door031.jpg	6	5
1143375.28	1144540.86	1165	door035.jpg	6	5
1149891.39	1151162.07	1270	door034.jpg	6	5
1152107.89	1152740.47	632	door035.jpg	6	5
1158074.05	1159312.47	1238	door033.jpg	6	5
1164656.83	1165266.19	609	door035.jpg	6	5
1170606.34	1171695.23	1088	door034.jpg	6	5
1172639.51	1173375.23	735	door034.jpg	6	5
1174322.70	1175178.46	855	door033.jpg	6	5
1180522.18	1181052.46	530	door035.jpg	6	5
1186388.38	1187888.50	1500	door031.jpg	6	5
1188838.15	1189345.09	506	door035.jpg	6	5
1194687.68	1195172.33	484	door031.jpg	6	5
1196137.55	1196914.97	777	door033.jpg	6	5
1202270.37	1203114.27	843	door034.jpg	6	5
1204053.56	1205866.10	1812	door033.jpg	6	5
1211219.63	1212180.97	961	door031.jpg	6	5
1213136.15	1213906.22	770	door034.jpg	6	5
